SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
162,6,0,18394,0,0,0,A,Delano city,California,51420,49852,50668,50843
162,6,0,18506,0,0,0,A,Del Mar city,California,3950,3946,3918,3882
162,6,0,18688,0,0,0,A,Del Rey Oaks city,California,1591,1588,1578,1553
162,6,0,18996,0,0,0,A,Desert Hot Springs city,California,32499,32498,32716,33091
162,6,0,19192,0,0,0,A,Diamond Bar city,California,55070,54896,53763,52855
162,6,0,19318,0,0,0,A,Dinuba city,California,24599,24666,25167,25285
162,6,0,19402,0,0,0,A,Dixon city,California,18989,18986,19028,19143
162,6,0,19584,0,0,0,A,Dorris city,California,862,860,864,851
162,6,0,19612,0,0,0,A,Dos Palos city,California,5800,5797,5819,5820
162,6,0,19766,0,0,0,A,Downey city,California,114358,113973,111570,109934
162,6,0,19990,0,0,0,A,Duarte city,California,21722,21662,21271,21807
162,6,0,20018,0,0,0,A,Dublin city,California,72588,72524,71516,72060
162,6,0,20242,0,0,0,A,Dunsmuir city,California,1706,1702,1711,1687
162,6,0,20956,0,0,0,A,East Palo Alto city,California,30040,29931,28897,28383
162,6,0,21230,0,0,0,A,Eastvale city,California,69752,69966,71341,71024
162,6,0,21712,0,0,0,A,El Cajon city,California,106183,106126,105474,104414
162,6,0,21782,0,0,0,A,El Centro city,California,44316,44207,44201,43811
162,6,0,21796,0,0,0,A,El Cerrito city,California,25958,25967,25878,25583
162,6,0,22020,0,0,0,A,Elk Grove city,California,176141,176732,178283,177558
162,6,0,22230,0,0,0,A,El Monte city,California,109447,109111,106918,105312
162,6,0,22300,0,0,0,A,El Paso de Robles (Paso Robles) city,California,31496,31555,31777,31544
162,6,0,22412,0,0,0,A,El Segundo city,California,17265,17212,16867,16622
162,6,0,22594,0,0,0,A,Emeryville city,California,12902,12939,12875,12913
162,6,0,22678,0,0,0,A,Encinitas city,California,62002,61988,61768,61369
162,6,0,22790,0,0,0,A,Escalon city,California,7471,7477,7510,7448
162,6,0,22804,0,0,0,A,Escondido city,California,151074,151139,150679,150270
162,6,0,22972,0,0,0,A,Etna city,California,676,675,679,671
162,6,0,23042,0,0,0,A,Eureka city,California,26561,26477,26369,26129
162,6,0,23126,0,0,0,A,Exeter city,California,10323,10327,10321,10267
162,6,0,23168,0,0,0,A,Fairfax town,California,7600,7586,7557,7423
162,6,0,23182,0,0,0,A,Fairfield city,California,119872,119874,119835,119338
162,6,0,23616,0,0,0,A,Farmersville city,California,10408,10408,10377,10324
162,6,0,23910,0,0,0,A,Ferndale city,California,1402,1404,1406,1398
162,6,0,24092,0,0,0,A,Fillmore city,California,16426,16409,16508,16657
162,6,0,24134,0,0,0,A,Firebaugh city,California,8098,8089,8109,8418
162,6,0,24638,0,0,0,A,Folsom city,California,80463,80749,81687,83269
162,6,0,24680,0,0,0,A,Fontana city,California,208387,208620,210540,212475
162,6,0,25058,0,0,0,A,Fort Bragg city,California,6986,6968,6967,6881
162,6,0,25128,0,0,0,A,Fort Jones city,California,695,693,696,689
